,predicted_pd,actual,risk_bucket
0,0.052903862615014785,0,Medium - Approve with conditions
1,0.03912663430621892,0,Low - Approve
2,0.26834995027860264,0,High - Manual Review
3,0.05675177767444047,0,Medium - Approve with conditions
4,0.0568209708473424,0,Medium - Approve with conditions
5,0.1696619139262355,0,High - Manual Review
6,0.020702940391755627,0,Low - Approve
7,0.017174066264126025,0,Low - Approve
8,0.33992237529190794,0,High - Manual Review
9,0.10362374107441608,1,Medium - Approve with conditions
10,0.02303204660386248,0,Low - Approve
11,0.07299093125951032,0,Medium - Approve with conditions
12,0.029203410858330326,0,Low - Approve
13,0.04205944574135612,0,Low - Approve
14,0.0691606521604957,0,Medium - Approve with conditions
15,0.036218554218689955,0,Low - Approve
16,0.030295990508484683,0,Low - Approve
17,0.0400094563929003,0,Low - Approve
18,0.03928744720405589,0,Low - Approve
19,0.030900733009232944,0,Low - Approve
20,0.024793348707053513,0,Low - Approve
21,0.02415357385959179,0,Low - Approve
22,0.03366109582208051,0,Low - Approve
23,0.02733116173414004,0,Low - Approve
24,0.04217450321629882,0,Low - Approve
25,0.030197285596875345,0,Low - Approve
26,0.10714038215541463,0,Medium - Approve with conditions
27,0.029817249547475437,0,Low - Approve
28,0.09112556390791848,0,Medium - Approve with conditions
29,0.028642581465470933,0,Low - Approve
30,0.019668396272043004,0,Low - Approve
31,0.04783893111008791,0,Low - Approve
32,0.26120667289200805,0,High - Manual Review
33,0.024204263982786398,0,Low - Approve
34,0.0996220770292182,0,Medium - Approve with conditions
35,0.034113500692010204,0,Low - Approve
36,0.2656118310872036,0,High - Manual Review
37,0.02421455024407762,0,Low - Approve
38,0.03816231184874179,0,Low - Approve
39,0.030954774756324882,0,Low - Approve
40,0.07501779708938738,0,Medium - Approve with conditions
41,0.03695016309293446,0,Low - Approve
42,0.07930867112436249,0,Medium - Approve with conditions
43,0.06262625815467793,0,Medium - Approve with conditions
44,0.025440940101113075,0,Low - Approve
45,0.057560069631014656,0,Medium - Approve with conditions
46,0.04590847994379279,0,Low - Approve
47,0.02211838303198372,0,Low - Approve
48,0.02726451263931052,0,Low - Approve
49,0.0269787668437032,0,Low - Approve
50,0.018742514067892718,0,Low - Approve
51,0.016936253294974984,0,Low - Approve
52,0.054027632007344936,0,Medium - Approve with conditions
53,0.027426998685290326,0,Low - Approve
54,0.13380781553857654,0,Medium - Approve with conditions
55,0.021622822432360553,0,Low - Approve
56,0.04952203998824466,0,Low - Approve
57,0.046437498721372386,0,Low - Approve
58,0.016920416729694614,0,Low - Approve
59,0.07111620538793613,0,Medium - Approve with conditions
60,0.11558202605763794,0,Medium - Approve with conditions
61,0.03640449155310636,0,Low - Approve
62,0.018230336262771266,0,Low - Approve
63,0.1645580482793408,1,High - Manual Review
64,0.021140923186566216,0,Low - Approve
65,0.1661159556717377,1,High - Manual Review
66,0.12184904782071179,0,Medium - Approve with conditions
67,0.018080802485029756,0,Low - Approve
68,0.03488606857285716,0,Low - Approve
69,0.04183077519113685,0,Low - Approve
70,0.344905851850663,1,High - Manual Review
71,0.04865656453696812,0,Low - Approve
72,0.1854702214540948,0,High - Manual Review
73,0.14495253237114353,0,Medium - Approve with conditions
74,0.04597277933445837,0,Low - Approve
